139.224.135.94,80
110.72.45.98,8123
122.114.31.177,808
61.135.217.7,80
110.209.250.202,8118
115.225.159.167,3128
111.155.116.224,8123
110.73.42.173,8123
111.155.116.247,8123
111.155.116.236,8123
171.38.41.110,8123
110.90.133.85,32420
120.37.174.49,23890
110.73.3.226,8123
115.210.72.4,31844
121.31.195.60,8123
122.4.29.5,45912
116.231.60.140,8118
110.73.41.52,8123
113.121.241.43,808
110.189.207.86,31759
175.11.50.117,8118
119.190.216.247,8118
110.73.3.148,8123
49.85.7.134,36832
218.74.82.123,39960
218.74.82.123,39960
49.82.54.12,44318
121.31.136.212,8123
59.51.121.150,3128
121.31.139.96,8123
180.120.200.83,31395
110.73.34.49,8123
115.46.66.241,8123
59.32.37.64,3128
144.123.71.140,35523
115.230.79.34,25688
180.155.137.190,42871
110.73.29.66,8123
116.213.98.6,8080
122.241.73.36,808
222.71.125.103,30268
27.154.180.190,34039
139.211.87.74,80
58.216.202.149,8118
59.56.242.89,38598
171.38.25.141,8123
139.198.191.105,8888
115.203.176.65,38025
115.221.119.203,35161
115.46.78.74,8123
222.182.53.254,8118
106.111.53.216,48482
114.232.83.57,45242
49.85.7.143,42038
113.105.202.79,3128
110.72.16.98,8123
114.214.162.136,8118
110.73.53.210,8123
114.231.115.165,25951
121.31.100.21,8123
118.254.145.30,3128
60.162.23.94,41720
116.3.205.22,8888
123.55.3.200,21766
121.237.168.252,8118
116.231.242.248,8118
113.243.131.107,3128
121.31.192.79,8123
121.205.254.234,808
182.42.244.61,808
115.203.216.211,30347
125.126.168.218,22337
111.155.116.208,8123
171.39.29.102,8123
112.228.170.47,8118
61.178.238.122,63000
110.73.55.161,8123
111.155.116.226,8123
118.254.155.127,3128
118.254.152.208,3128
182.90.91.127,8123
222.183.210.106,8118
180.122.149.141,44871
110.73.52.206,8123
122.4.46.59,22204
222.77.36.100,47798
110.73.1.65,8123
221.7.175.182,8123
118.254.155.64,3128
115.215.51.136,43619
123.101.165.206,26308
124.72.97.191,808
114.218.138.26,47517
221.229.18.14,3128
114.230.126.150,808
110.73.28.249,8123
115.221.121.158,41932
140.250.130.243,48000
125.109.194.143,48398
125.109.194.143,48398
182.90.172.195,8123
110.73.53.88,8123
111.155.116.211,8123
118.114.77.47,8080
125.126.164.35,21341
125.126.162.206,21239
110.73.29.160,8123
144.12.162.51,808
221.10.159.234,1337
183.151.36.211,35296
114.230.233.110,42324
222.71.89.180,47202
171.11.228.255,20802
180.155.141.179,25130
112.124.39.77,123
222.89.82.113,22073
113.86.221.244,808
121.231.147.45,6666
114.232.193.253,39332
123.53.133.126,39712
59.51.123.56,3128
222.182.53.151,8118
123.149.163.243,42989
171.39.40.194,8123
180.156.94.7,8118
220.162.155.83,43254
60.167.133.80,29296
221.227.56.74,29064
60.175.213.156,33188
180.121.163.53,23441
49.71.81.173,3128
49.71.81.131,3128
116.22.53.147,8118
115.226.134.69,30197
117.62.113.57,45994
113.121.240.206,45818
110.73.53.65,8123
111.155.116.217,8123
111.155.116.237,8123
171.39.40.152,8123
111.155.116.196,8123
111.155.116.232,8123
115.46.78.9,8123
123.168.133.183,8118
121.237.137.172,3128
111.155.116.227,8123
111.155.116.216,8123
121.31.154.146,8123
110.73.32.142,8123
115.46.65.122,8123
110.73.52.86,8123
117.66.134.233,8118
222.85.50.38,808
110.72.23.231,8123
125.40.47.18,80
60.167.135.11,45515
113.128.30.107,31770
110.73.53.123,8123
123.54.236.215,34974
111.74.233.78,22463
110.88.31.5,39451
139.208.198.168,8118
111.155.116.215,8123
111.155.116.225,8123
111.155.116.207,8123
124.134.31.118,8118
118.180.42.196,8118
113.105.203.163,3128
121.31.103.198,8123
110.72.35.95,8123
121.31.177.187,8123
180.119.65.55,3128
60.184.117.241,26092
49.79.70.112,8118
49.89.86.107,37084
110.189.207.60,30392
112.64.76.70,8118
61.143.19.17,20772
221.229.18.85,3128
117.62.113.64,25190
27.40.143.81,61234
110.73.3.117,8123
121.31.145.100,8123
183.51.122.45,80
180.119.65.115,3128
115.46.101.237,8123
139.208.195.96,8118
221.8.170.46,8118
110.73.4.255,8123
110.73.31.135,8123
171.39.39.197,8123
115.46.65.157,8123
27.40.145.115,61234
222.94.196.68,3128
182.42.244.58,808
118.254.144.45,3128
116.225.67.211,8118
110.72.28.1,8123
111.155.116.200,8123
121.31.147.115,8123
110.73.5.75,8123
110.73.43.219,8123
118.254.145.140,3128
125.45.114.107,8118
124.79.45.197,8118
